luo,swahili
tuju owacho ni mosruok mane obedo ekind ker uhuru kenyata kod ogai mar odm raila odinga mane ochwe okelo chuok mar bbi osekonyo mokalo ekelo kwe pachoka moloyo bang koko mane obedo pachoka bang yiero,Tuju alisema kuwa makubaliano baina ya Raila na Uhuru imesaidia sana kuleta amani humu nchini hasa baada ya vurugu vilivyokuwemo baada ya uchaguzi
chike pachoka ogwenyore mokalo kod dwaro mar chik ni kendo jokenya ne ok oriw pachgi ewi chenrono kane pod ok ochake,Sheria za humu nchini zimetofautiana sana na makubaliano hayo ikisemekana kuwa wananchi hawakuhusishwa kwa kuulizwa maoni yao
Ochiwo pache enyim kamiti mar chike kod ratiro eod bura mamalo kawuono,Alipeana maoni yake kwa kamati ya sheria na haki katika bunge la taifa leo hii
havi owacho ni laino mar loko moko kuom fuoni mag chike kakidek dhi donjore kod chiike  mapachoaka eokang mamalo,Havi alisema kuwa kufanya mageuzi kwa sheria huenda ikatofautiana na baadhi ya sheria za humu nchini
havi omedo kone kamitino ni paro moketi e bbi mondo jotend migepe obi obedi ka igwelo kowuok eod bura en gima koro dhi ataro kod chike ma jokenya ne jokalo eiga 201o ,Havi ameiambia kamati hiyo kuwa mpango wa BBI wa kuteua mawaziri kutoka bungeni unaenda kinyume na katiba iliyopitishwa na wananchi mwaka wa 2010
kata kamano havi ne oyudore kama paro magi kaka jokanyo mag lsk kapok ne oketi liport onogo ma havi nechiwo enyim kamitino,Hata hivyo Havi alipata kama maoni yao kama tume ya sheria nchini LSK bado maoni yao hayakuwa yamewekwa katika ripoti hiyo
Jami oganda nyiero Omondi omaki kawuono.,Mchekeshaji maarufu humu nchini Eric Omondi amekamatwa leo
omondi ne omaki kawuono kaluwore kod apedha modich mane otimne ekind obila kod duol mapuodho tipo mar yande keto tugo moro embui ,Omondi alikamatwa baada ya utafiti na maafisa wa polisi pamoja na bodi ya filamu nchini kuhusiana na video fulani mtandaoni
tugo mane oko opuodhi kod duolno mutua moawacho ni tugo onogo mane oyangi kaka wife material ne ogwenyore mokalo kod pend chike kare 222,Mutua ambaye ni mwenyekiti wa filamu nchini alisema kuwa mvchezo huo wa WIFE MATERIAL unaenda kinyume na sheria
chike mane olosi eod bura eiga 2014 mayango lai matuke duto maigolo eyor tipo nyaka luu kapod ok oland ,Sheria zilizoundwa katika mwaka wa 2014 ambazo zinasema kuwa filamu zote lazima ziangaliwe na bodi hiyo kabla ya kuweka mtandaoni
mutua owacho ni gidhi timo duto eneno ni chike oluu kod jok maketo videos e mbui,Mutua alisema kuwa watafanya yote wawezayo ili kuhakikisha kuwa watu wote wanaoweka video mtandaoni ziwevideo sawa
igeno chope edoho ma nairobi eodiechieng kuma ne ochaki etielo mokuon go mar chenrono ,Anatarajiwa kufikishwa mahakamani leo katika awamu ya kwanza
kibochi ojiwo apisasgo mag lweny mondo kik chik itgi ne weche moko mag miriambo masani koro fuongore ewi chanjono,Kibochi amewaambia maafisa hao wa usalama kutotega masikio kwa uvumi ambao unaendelezwa kuhusiana na chanjo hiyo
Ojiwo apisago oti matek neno ni tuono mar korona biro dok piny e pachoka,Amewasihi maafisa hao wa usalama kufanya wawezayo kuhakikisha kuwa virusi vya korona vinapungua humu nchini
owacho ni kata geto jopuonj  duto eskunde mag pinyowacho kod mago manie skunde mag jigi wegi ka tielo mokuongo,Amesema kuwa wanawategea walimu walio katika shule za serikali na shule za kibinafsi katika awamu ya kwanza ya kupeana chanjo
"owacho ni migaono nikod kwand jopuonj maromo 15,000 masani koro joni kod higni 58 kadhi nyime kojiwo migao mar thieth odhi oneni jopuonj  maromo 227,679 majodhi tayo penj mag class 8 kod class 12","Amesema kuwa wizara ya elimu sasa hivi ina walimu elfu kumi na tano walio na zaidi ya umri wa miaka hamsini na nane, vilevile amesema wizara ya afya inafaa kuwapa chanjo walimu elfu mia mbili ishirini na saba ambao watasimamia mitihani ya kitaifa"
Omii thuolo mokuongo  echipo onogo mar chanjo mar gengo midhusi mag korona,Amesema kuwa walimu hao wanafaa kupewa kipaumbele katika chanjo hiyo dhidi ya korona
kawuono  doho owito oko kwayo mane otero edoho mar tamo joneno mamoko modong chiwo nendgi ewachno,Leo hii korti ilipuuzilia mbali wazo la kuwakataza mashahidi zaidi kupeana ushuhuda wao katika kesi hiyo
deya ne dwani dohono ogol chik madhi loro oko ne joneno eburano masani joni epinje maoko echiwo neno margi ewi burano,Deya alitaka korti hiyo iwanyime nafasi mashahidi walio katika nchi za nje
kata kamano jayal buche francis andayi ochiko burano omed dhi nyime ka jomin wach okonegi mondo obi ochwal edoho kanyo joneno mamoko ma odong mapod oko ochiwo neno margi,Hata hivyo jaji Francis Andayi amewaagza mawakili kuhakikisha kuwa mashahidi ambaohawajafika kortini kutoa ushuhuda wao wafike
justice andayi owacho ni burano ne ochwe ochung dwe mar 4 eiga  mokalo  kaluwore kod wach tuo mar covid19 mane odino yore mathoth mag wuoth kod tije edoho,Jaji Andayi amesema kuwa kesi hiyo ilisimamishwa mwezi wa nne mwaka uliopita kutokana virusi vya korona ambayo ilizuia usafiri pamoja na kazi za mahakama
kata kamano jomin wach eburano ok okone doho ka joneno go mathothgi gin jok mane osedhi erutaya jobiro  chopo,Hata hivyo mawakili hao hawajaiambia mahakama kama mashahidi hao ambao wengi wao walikwisha staafu wataweza kufika kortini
Nyithindo abich mawuok e gwenge ma mountain view Nairobi olal,Watoto watano wanaotoka kwenye mtaa wa Mountain View jijini Nairobi wamepotea
Registra mandiko duond buche mag siasa pachoka Salome ema ogolo chikno,Msajili wa vyama vya kisiasa humu nchini ndiye ametoa sheria hiyo
olero ni duond buche duto mag siasa yande jose keto kokgi ewinjruok mar dhi neno ni giluwore kod chike duto marito weche yiero kod duond buche mag siasa pachoka motelo ne yiero ma 2022,Amesema kuwa vyama vya kisiasa vilishakubaliana na kutia sahihi kuzingatia sheria zote za uchaguzi humu nchini uchaguzi wa 2022 unapokaribia
ochiwo ranyisi kod koko moko mayande onee ekinde yiero maduno mane otim pachoka juma mokalo ,Amepeana mifano na vurugu ambavyo vilishuhudiwa katika chaguzi ndogo humu nchini
"omedo ni en ting duond buchego mag siasa mondo mi ogaa johera magi, jochung magi kod jotelo magi ekinde yiero mag siasa eote ne ute mag fwambo odhiambo masani ",Katika ripoti ya Nderitu kwa vyombo vya habari jioni ya leo alisema kuwa vyama hivyo vinafaa kuwadhibiti wafuasi wao pamoja na wawaniaji viti kupitia vyama hivyo
Ngire Absalom ne oloso ekinde mane itimone chanjo,Profesa Nyong`o alizungumza jijini Kisumu alipokuwa akipokea chanjo
 neowachoni jotelo nyaka koro bedie opara manyime e chenrono eka jopiny nyalo bedo gichuny mar dhii e chanjo makamano.,Alisema kuwa viongozi lazima wawe katika hatua ya mbele ndiposa wananchi wawe na imani na chanjo hiyo
wambora nowacho ni odioching makiny ibiro timne chanjo makamano mayango adieri ni chanjono en mano maopuodhi.,Wambora alisema kuwa hiyo kesho atapokea chanjo hiyo ishara ya kuwa chanjo hiyo ni salama
"governor  nyongo ne owachoni apisas machiwo chanjono dwaroni gichop kwan maromo 2,000 e juma manyien to gima mako dhok en ni jomadhii e chenrono ni piny mokadho.",Nyong`o alisema kuwa wahudumu wa afya wanawalenga watuelfu mbili kufikia mwisho wa wiki hii lakini idadi ya wanaoenda kupokea chanjo hiyo ni ndogo sana
neotieko kaowachoni okao kang mar mondo ochanje kawuono kaka yor miyo mijingo jogoo mane oketi eopara manyime eyudo chanjono mondo jowuog oko joyud chanjo,Amesema kuwa alichukua hatua hiyo kupokea chanjo ili awape motisha wananchi wengi ili wafike kupokea chanjo hiyo
"homa bay- jago moro maja igni 24 ochodo oko lwet owadgi  kod ojalo gwenge mag kanyabande, kawuor location ei rachuonyo east subcounty","Mtu mmoja mwenye umri wa miaka ishirini na nne amekata mkono wa nduguye kwa panga katika kitongoji cha Kanyabande,Rachuonyo Mashariki"
denish otieno maja higni 31 neomonji kod owadgi matin ewii gino mawachore ni owadgino ne otiyo kod sabunde mar luok  maok ne okwaye,Denis Otieno mwenye umri wa miaka thelathini na moja alivamiwa na ndugu yake kutokana na yeye kutumia sabuni yake bila kumwomba
 jagono moyang nyinge kaka ochieng adier ne omonjo owadgi edalane kamane odhii dwaroe sabun kendo yao lweny kod owadgino ma kae to otong'o oko lwete kod ojalo,Mja huyo kwa jina Ochieng` Adier alimvamia nduguye katika boma lake na kuukata mkono wake na kuuangusha chini kwa panga
"gisani rawerano pod opondo kendo pok oyang kama entiere ka owadgi maotong'o lweteno to ne oseter kar thieth ma matata,oyugis",Ochieng` ambaye alimkata nduguye hadi sasa haijulikani aliko huku ndyguye akipokea matibabu katika hospitali ya Matat mjini Oyugis
